# SPDX-FileCopyrightText: 2026 Olivares.AI
# SPDX-License-Identifier: AGPL-3.0-only
#
# config-env-catalog.tsv — the ONE hand-written field per OLIVARES_* variable.
#
# THE ROSTER IS NOT HERE. It is enumerated from the non-test Go sources on every
# run by scripts/config-env-docs, so this file cannot decide which variables exist:
# a name in the code with no row here FAILS the gate, and a row here for a name the
# code no longer reads FAILS it too. Rows are rewritten sorted by
# `bash scripts/check-config-env-docs.sh --write`; edit the prose, not the roster.
#
# Columns, tab-separated: name	required(yes|no)	default(empty for none)	summary
OLIVARES_ACTOR	no		Default `--actor` for the decision-bearing eventing verbs, so a scripted change still records who made it.
OLIVARES_ADMIN_DSN	no		Privileged connection string the Kubernetes operator uses for schema migration, separate from the least-privilege runtime role.
OLIVARES_AGENTCORE_EXPORT_CONFIG	no		Path to the JSON configuration of the AgentCore usage export.
OLIVARES_AGENT_GATEWAY_CONFIG	no		Path to the JSON configuration of the MCP agent gateway.
OLIVARES_ALLOW_CLEARTEXT	no		Dangerous opt-in: lets a request carrying a credential reach a NON-loopback host over plain HTTP, for surfaces with no --allow-cleartext flag of their own.
OLIVARES_API_TOKEN	no		API token the Terraform provider authenticates with, when the provider block does not set one.
OLIVARES_APPROVAL_BRIDGE_CONFIG	no		Path to the JSON configuration of the bridge that routes approvals to an external system.
OLIVARES_AUDIT_ARCHIVE_	no		Family prefix for the audit archive settings listed above.
OLIVARES_AUDIT_ARCHIVE_CONFIG	no		Path to the JSON settings for the `s3archive` sink. Secret-bearing, so it is a file rather than a value.
OLIVARES_AUDIT_ARCHIVE_DIR	no		Root directory for the `dir` archive sink.
OLIVARES_AUDIT_ARCHIVE_INTERVAL	no	24h	How often sealed audit segments are archived, as a Go duration.
OLIVARES_AUDIT_ARCHIVE_RETAIN_DAYS	no	2555	How long archived audit segments are retained, in days.
OLIVARES_AUDIT_ARCHIVE_SEGMENT_EVENTS	no		How many events a sealed archive segment holds before the next one is started.
OLIVARES_AUDIT_ARCHIVE_SINK	no		Where sealed audit segments are archived: unset for off, `dir` for a local directory, `s3archive` for object storage.
OLIVARES_AUDIT_LEGALHOLD_INTERVAL	no		How often the long-horizon legal-hold sweep runs, as a Go duration.
OLIVARES_AUDIT_META_BLINDING	no		Whether audit metadata commitments are written blinded, and how strictly that is required.
OLIVARES_AUDIT_SIGNING_KEY	no		Audit checkpoint signing key, inline. Prefer the file form so the key never sits in a process environment.
OLIVARES_AUDIT_SIGNING_KEY_FILE	no		Path to the audit checkpoint signing key. This is the operator-held form.
OLIVARES_AUDIT_SIGNING_KEY_WRAPPED_FILE	no		Path to the audit signing key wrapped by a key management service, unwrapped at boot.
OLIVARES_AUDIT_SPOOL_MAX_BYTES	no		Upper bound on the on-disk audit spool before the full-spool rule applies.
OLIVARES_AUDIT_SPOOL_ON_FULL	no		What happens when the audit spool is full: the deny-closed posture refuses the write rather than dropping the record.
OLIVARES_AUTHZEN_ALLOWED_CIDRS	no		Comma-separated CIDR ranges allowed to reach the AuthZEN endpoints. Unset leaves the endpoint reachable wherever the listener is.
OLIVARES_AUTHZEN_DISABLED	no		Set to a true value to turn the AuthZEN decision endpoint off.
OLIVARES_AUTHZEN_EXPORT_DISABLED	no		Set to a true value to turn the AuthZEN export endpoint off.
OLIVARES_AUTHZEN_SEARCH_DISABLED	no		Set to a true value to turn the AuthZEN search endpoints off while leaving decisions on.
OLIVARES_BASE_URL	no		Public base URL of this control plane, used where an absolute link back to it has to be produced.
OLIVARES_BUS_CONFIG	no		Path to the JSON configuration of the message bus the engine publishes on.
OLIVARES_CAEP_TRANSMITTER_CONFIG	no		Path to the JSON configuration of the CAEP transmitter that pushes shared-signal events.
OLIVARES_CATALOG_SIGNING_KEY	no		Catalog signing key, inline. Prefer the file form.
OLIVARES_CATALOG_SIGNING_KEY_FILE	no		Path to the catalog signing key.
OLIVARES_CATALOG_SIGNING_KEY_WRAPPED_FILE	no		Path to the catalog signing key wrapped by a key management service.
OLIVARES_CLAUDE_ADMIN_ACTUATOR_CONFIG	no		Path to the JSON configuration of the administrative actuator that applies changes at the model provider.
OLIVARES_CLAUDE_ADMIN_KEY	no		Administrative API key used to read identity posture from the model provider.
OLIVARES_CLAUDE_ERASER_CONFIG	no		Path to the JSON configuration of the erasure actuator that carries out deletion requests.
OLIVARES_CLAUDE_FILES_CONFIG	no		Path to the JSON configuration of the provider file inventory scan.
OLIVARES_CLAUDE_INFERENCE_KEY	no		API key the engine uses for its own inference calls. Unset leaves the inference-backed features off.
OLIVARES_CLAUDE_WORKSPACE_ID	no		Workspace whose identity posture is read, when the administrative key spans several.
OLIVARES_CLI_CONFIG	no		Path to the CLI configuration file, replacing the default per-user location. Used by hermetic automation.
OLIVARES_CLI_TRAMPOLINE	no		Set to `1` inside a re-executed child process so the binary runs the requested subcommand instead of the outer test harness.
OLIVARES_CODEX_HOOK_	no		Family prefix for the Codex hook client and server settings listed above.
OLIVARES_CODEX_HOOK_ACCOUNT	no		Account the Codex hook client reports.
OLIVARES_CODEX_HOOK_AGENT	no		Agent identity the Codex hook client reports.
OLIVARES_CODEX_HOOK_ORG	no		Organization the Codex hook client reports.
OLIVARES_CODEX_HOOK_PEP_CONFIG	no		Path to the JSON configuration of the Codex hook enforcement point server.
OLIVARES_CODEX_HOOK_TENANT	no		Tenant the Codex hook client reports.
OLIVARES_CODEX_HOOK_TOKEN	no		Token the Codex hook client presents to the enforcement point.
OLIVARES_CODEX_HOOK_URL	no		Base URL of the enforcement point the Codex hook client calls.
OLIVARES_COMMUNICATION_CONTENT_KEYRING_FILE	yes		Path to the JSON keyring the communication content sealer loads at boot (cmd/olivares/boot.go). Secret-bearing, so it is a file rather than a value: sealed message bodies are verified against the keys it carries, and an engine started without it cannot open content sealed by a peer that had one.
OLIVARES_COMMUNICATION_TOKEN	yes		NOT an operator setting, and documented here precisely so nobody sets it. The engine MINTS this bearer and injects it into a conducted session's child process exactly once (modules/sessions/runtime_bridge.go); its tuple travels inside the authenticated principal. It is RESERVED on the launch path: validateLaunchInjectedEnv (modules/sessions/runtime.go) refuses any launch whose injected environment carries it, so a caller-supplied value is rejected rather than honoured. It appears in the roster because that reserved-name check mentions it, not because the engine reads it.
OLIVARES_CONFIG_STRICT	no		Set to `1` to make `olivares config effective` and `config validate` reject any unrecognized `OLIVARES_*` key.
OLIVARES_CONTEXT_MAX_TOKENS	no		Upper bound on the context a governed session may assemble, in tokens.
OLIVARES_CONTEXT_STRATEGY	no		Which strategy assembles a governed session's context when the bound is reached.
OLIVARES_DATA_DIR	no		Data directory used when `--data-dir` is not given: audit signing key, TLS material and, for SQLite, the store file.
OLIVARES_DB_MAX_CONNS	no		Upper bound on pooled database connections. Unset leaves the driver default.
OLIVARES_DEPLOY_EXECUTOR_CONFIG	no		Path to the JSON configuration of the executor that applies deployment changes.
OLIVARES_DR_KEK_FILE	no		Path to a raw 32-byte key-encryption key for backups, for the path where a key management service does the unwrapping.
OLIVARES_DR_OFFSITE_	no		Family prefix for the offsite replication settings listed above.
OLIVARES_DR_OFFSITE_ACCESS_KEY_ID_FILE	no		Path to the file holding the offsite access key id, so the credential stays out of the environment.
OLIVARES_DR_OFFSITE_BUCKET	no		Offsite bucket for disaster-recovery bundles. Setting it turns offsite replication on.
OLIVARES_DR_OFFSITE_ENDPOINT	no		S3-compatible endpoint for offsite replication. Unset means AWS S3 in the configured region.
OLIVARES_DR_OFFSITE_PREFIX	no		Key prefix for bundles inside the offsite bucket.
OLIVARES_DR_OFFSITE_REGION	no		Region for offsite replication.
OLIVARES_DR_OFFSITE_SECRET_ACCESS_KEY_FILE	no		Path to the file holding the offsite secret access key.
OLIVARES_DR_OFFSITE_SESSION_TOKEN_FILE	no		Path to the file holding an offsite session token, for temporary credentials.
OLIVARES_DR_PASSPHRASE_FILE	no		Path to the backup passphrase file, from which the backup key-encryption key is derived.
OLIVARES_DR_SCHEDULE_INTERVAL	no		How often the scheduled backup runs, as a Go duration.
OLIVARES_DSN	no		Store connection string injected by the Kubernetes operator into the engine it manages.
OLIVARES_DURABLE_BUS_CONFIG	no		Path to the JSON configuration of the durable bus, for at-least-once delivery across replicas.
OLIVARES_EMBEDDINGS	no		Family stem for the unprefixed embeddings settings, which configure the OpenAI-compatible provider.
OLIVARES_EMBEDDINGS_	no		Family prefix from which the per-provider embeddings keys are built, by appending the provider name and then the setting.
OLIVARES_EMBEDDINGS_BASE_URL	no		Endpoint the openai-compatible embeddings provider is called at.
OLIVARES_EMBEDDINGS_DIM	no		Vector dimension the openai-compatible provider returns, which has to match the index.
OLIVARES_EMBEDDINGS_GEO	no		Region or data-residency hint sent to the openai-compatible provider.
